Layer,Iteration,FID
1,0,241.8643035888672
1,10000,2.3126001358032227
1,20000,3.9815750122070312
1,30000,4.414793968200684
1,40000,4.6299848556518555
1,50000,4.722120761871338
2,0,227.48089599609375
2,10000,14.834907531738281
2,20000,9.25235652923584
2,30000,6.740281581878662
2,40000,5.386584758758545
2,50000,4.574920177459717
2,60000,4.087235450744629
2,70000,3.7548515796661377
2,80000,3.625264883041382
2,80000,3.655416488647461
2,90000,2.9549708366394043
2,100000,2.697953462600708
2,110000,2.5880002975463867
2,120000,2.6724016666412354
2,130000,2.6152889728546143
2,140000,2.5773754119873047
2,150000,2.6006991863250732
2,160000,2.6684484481811523
3,0,139.0317840576172
3,10000,14.54635238647461
3,20000,11.60483455657959
3,30000,10.113438606262207
3,40000,9.681479454040527
3,50000,9.169629096984863
3,60000,8.609322547912598
3,70000,8.720100402832031
3,80000,8.134607315063477
3,90000,8.349078178405762
3,100000,9.847535133361816
3,100000,10.000130653381348
3,110000,7.198798179626465
3,120000,7.215137004852295
3,130000,7.18882942199707
3,140000,7.204280376434326
3,150000,7.318287372589111
3,160000,7.2106242179870605
3,170000,7.403661727905273
3,180000,7.185887336730957
3,190000,7.10749626159668
3,200000,7.580472946166992
4,0,100.35330200195312
4,10000,71.71367645263672
4,20000,91.88421630859375
4,30000,34.98079299926758
4,40000,20.03488540649414
4,50000,17.072328567504883
4,60000,15.913580894470215
4,70000,14.916186332702637
4,80000,14.17116928100586
4,90000,13.849919319152832
4,100000,13.566826820373535
4,110000,14.019109725952148
4,120000,13.710474967956543
4,130000,13.928494453430176
4,140000,14.269375801086426
4,150000,18.156970977783203
4,150000,18.179306030273438
4,160000,12.80930233001709
4,170000,12.339326858520508
4,180000,11.830669403076172
4,190000,12.155074119567871
4,200000,12.10767650604248
4,210000,11.558371543884277
4,220000,11.69162368774414
4,230000,11.767906188964844
4,240000,11.416152000427246
4,250000,11.390360832214355
4,260000,11.37833023071289
4,270000,11.359552383422852
4,280000,11.42613697052002
4,290000,11.236401557922363
4,300000,11.282160758972168
5,0,47.011810302734375
5,10000,40.638084411621094
5,20000,64.55526733398438
5,30000,44.39824295043945
5,40000,31.73834800720215
5,50000,28.415172576904297
5,60000,28.140716552734375
5,70000,26.99361801147461
5,80000,26.389463424682617
5,90000,24.955663681030273
5,100000,24.79432487487793
5,110000,23.382015228271484
5,120000,24.440004348754883
5,130000,24.43631935119629
5,140000,24.924419403076172
5,150000,35.778404235839844
5,150000,35.87395477294922
5,160000,26.2459774017334
5,170000,24.59320831298828
5,180000,23.586076736450195
5,190000,23.78782844543457
5,200000,22.706716537475586
5,210000,22.4361572265625
5,220000,22.551639556884766
5,230000,22.908098220825195
5,240000,22.03024673461914
5,250000,22.070547103881836
5,260000,21.797222137451172
5,270000,22.419219970703125
5,280000,21.55654525756836
5,290000,21.116838455200195
5,300000,22.003705978393555
6,0,41.67380905151367
6,10000,56.143402099609375
6,20000,41.848854064941406
6,30000,38.22589111328125
6,40000,44.683021545410156
6,50000,39.41613006591797
6,60000,39.33646011352539
6,70000,38.981990814208984
6,80000,38.62887954711914
6,90000,35.85722351074219
6,100000,34.74052047729492
6,110000,36.20688247680664
6,120000,31.812246322631836
6,130000,32.79039764404297
6,140000,33.269493103027344
6,150000,31.676504135131836
6,160000,31.807315826416016
6,170000,30.540693283081055
6,180000,31.858564376831055
6,190000,33.107582092285156
6,200000,37.86886978149414
6,200000,37.95722579956055
6,210000,31.093107223510742
6,220000,31.141698837280273
6,230000,29.14671516418457
6,240000,28.892925262451172
6,250000,30.43111228942871
6,260000,30.449604034423828
6,270000,27.509552001953125
6,280000,27.31332778930664
6,290000,27.506778717041016
6,300000,27.027809143066406
6,310000,26.79454231262207
6,320000,27.266454696655273
6,330000,27.041133880615234
6,340000,26.018390655517578
6,350000,26.7508487701416
6,360000,25.590450286865234
6,370000,26.245447158813477
6,380000,25.951955795288086
6,390000,26.406089782714844
6,400000,26.97370719909668
7,0,57.09017562866211
7,10000,92.16390991210938
7,20000,53.64113235473633
7,30000,53.227752685546875
7,40000,44.79682540893555
7,50000,46.592166900634766
7,60000,43.66886520385742
7,70000,43.876258850097656
7,80000,43.547752380371094
7,90000,38.556617736816406
7,100000,34.6551628112793
7,110000,36.69207763671875
7,120000,34.66937255859375
7,130000,35.663150787353516
7,140000,34.38414764404297
7,150000,35.514381408691406
7,160000,32.94579315185547
7,170000,33.20049285888672
7,180000,34.6217155456543
7,190000,33.59523010253906
7,200000,34.91178894042969
7,210000,37.60251235961914
7,220000,39.057373046875
7,225000,38.914798736572266
7,225000,39.05922317504883
7,235000,35.99576187133789
7,245000,37.473995208740234
7,255000,38.1981086730957
7,265000,37.23894500732422
7,275000,40.59408187866211
7,285000,36.76506423950195
7,295000,40.04179382324219
7,305000,35.87358474731445
7,315000,39.26093292236328
7,325000,38.399654388427734
7,335000,35.57759094238281
7,345000,35.243412017822266
7,355000,34.589599609375
7,365000,34.717994689941406
7,375000,36.02640914916992
7,385000,42.98172378540039
7,395000,37.408512115478516
7,405000,34.63273620605469
7,415000,39.01957702636719
7,425000,35.729530334472656
7,435000,42.09883499145508
7,445000,37.48585510253906
7,450000,38.6084098815918
